CarModel0,Mass_kg0,CarModel1,Mass_kg1,CarModel2,Mass_kg2,CarModel3,Mass_kg3,CarModel4,Mass_kg4,SumRandomValue,TotalMass,TotalLength,Velocity1,GravityCenter1,Velocity2,TheoreticalVelocity2,GravityCenter2,T12,TheoreticalT12,Velocity3,TheoreticalVelocity3,GravityCenter3,T23,TheoreticalT23
23.5kGALTANK,35110,3285CFCOVEREDHOPPER,24030,52FTGONDOLA,34281.79281197349,68FTFLAT,100261.1379573555,52FTGONDOLA,86135.37571350807,-198.11710147972195,279818.30648283707,86.75,2.042904195344843,-2.0514243320085384,5.446888528158892,5.430715118436113,-3.8516773618420137,31.065,31.115,3.178036367299579,3.1216832022943652,-4.03551690880778,62.605,63.030
25.39kGALTANK,40910,null,null,null,null,null,null,null,null,88.66287004164693,40910,18.21,2.723526982718931,-2.513513,4.799183502548154,4.854582747604251,-3.9077870000000003,29.864,29.698,1.4449254829133014,1.7770459317996241,-4.055501455939445,87.443,82.928
52FTGONDOLA,29710,53FTWELL,53748.03690415861,73FTCENTERBEAM,28120,null,null,null,null,126.69295714218114,111578.03690415861,65.3,1.8923493560865743,-2.049602213288101,5.366588852906315,5.392440640163272,-3.887411490021477,32.296,32.201,2.7244754275310092,2.8248931341923487,-4.034280414895199,67.287,66.442
52FTGONDOLA,29710,TRIAUTORACK,47990,null,null,null,null,null,null,-57.13374601569811,77700,45.95,3.8601121431669934,-2.2758545862290864,5.76202228879139,5.7467643514443205,-3.907787,24.908,24.938,2.7627269885920684,2.698283890072147,-4.044319186209592,64.247,64.765
53FTWELL,52951.37790381071,3285CFCOVEREDHOPPER,31639.05498999841,100TOPENTOPHOPPER,28030,4750CFCOVEREDHOPPER,29260,null,null,-42.56146315614015,141880.4328938091,69.61,1.7298860590555918,-2.011340689404915,5.287765262695777,5.281013707182439,-3.8754039743966855,33.303,33.325,2.3095015606277536,2.277766119911632,-4.032791954992196,71.791,72.110
52FTGONDOLA,29710,23.5kGALTANK,35110,null,null,null,null,null,null,113.89055678209289,64820,34.290000000000006,3.770706943738218,-2.3907161278926257,5.541823102659721,5.580116121350721,-3.9077870000000003,25.420,25.331,2.644910877827818,2.7993383896457273,-4.04972462863528,66.744,65.468
29.3kGALTANK,79850.45385195875,null,null,null,null,null,null,null,null,145.54066279953673,79850.45385195875,18.24,1.4187205717931302,-2.513258,4.398053666130362,4.450215250467823,-3.9077870000000003,35.892,35.681,0.7183669685449667,1.2014531151210577,-4.055489497127762,106.607,97.276
33.7kGALTANK,97186.71349578266,23.5kGALTANK,35110,100TROPENTOPHOPPER,118603.48446603387,5188COVEREDHOPPER,75325.6194952446,29.3kGALTANK,124303.62918194552,57.60026460553598,450529.44663900667,89.02,2.876095025339894,-1.9195775992956934,6.09809050375423,6.100718214507069,-3.8217068545392565,26.861,26.851,4.423286352555175,4.4307528801550795,-4.030467199677315,51.079,51.047
BIAUTORACK,45360,5188COVEREDHOPPER,92041.75178457522,23.5kGALTANK,78293.82128493534,4750CFCOVEREDHOPPER,29260,3285CFCOVEREDHOPPER,93888.9594138217,70.57760600473584,338844.53248333227,94.28,2.7509085714682926,-1.9549793876498527,5.923196582612745,5.927640031787564,-3.836172257913858,27.693,27.678,3.9709170016822863,3.984247837480148,-4.031633791940737,54.434,54.364
100TROPENTOPHOPPER,26540,5188COVEREDHOPPER,74581.94198902174,25.39kGALTANK,40910,BNCOIL,116266.58583786807,29.3kGALTANK,36740,-21.19222279485747,295038.52782688977,84,1.415768785388881,-1.9869225660136964,5.359681404962835,5.358056845797104,-3.8560665319253706,34.195,34.198,2.858398546089999,2.8520664088792627,-4.032028457196967,65.862,65.918
